                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 1.0274,                0.92023,                 1.0448,                0.35577,                0.41111,                0.31415,                0.18292,                 2.2048,                 2.4861,                 2.5228,             0.00084184,             0.00084184,             0.00084184
                    102,                0.96278,                0.81508,                0.98443,                0.36867,                    0.5,                 0.3486,                0.19467,                 2.2346,                 2.4349,                 2.6381,             0.00083358,             0.00083358,             0.00083358
                    103,                 1.0297,                0.84738,                 1.0346,                0.40095,                0.45556,                0.35786,                0.17898,                 2.2359,                 2.5146,                 2.6117,             0.00082533,             0.00082533,             0.00082533
                    104,                0.89284,                0.76709,                0.97471,                0.45547,                0.31111,                0.32449,                 0.1807,                 2.1117,                 2.7803,                 2.4958,             0.00081708,             0.00081708,             0.00081708
                    105,                0.96269,                0.80356,                0.99668,                0.45547,                0.31111,                0.32449,                 0.1807,                 2.1117,                 2.7803,                 2.4958,             0.00080883,             0.00080883,             0.00080883
                    106,                0.95601,                 0.8028,                0.99655,                0.30228,                0.48889,                0.31602,                0.17366,                    2.1,                 2.7167,                 2.5101,             0.00080058,             0.00080058,             0.00080058
                    107,                0.94756,                0.78657,                 1.0253,                0.38656,                    0.4,                0.31834,                0.17711,                 1.9758,                 2.5787,                 2.4268,             0.00079233,             0.00079233,             0.00079233
                    108,                0.90156,                0.74293,                0.98612,                0.32325,                0.49062,                0.36749,                 0.2123,                 1.9281,                 2.5327,                 2.4227,             0.00078407,             0.00078407,             0.00078407
                    109,                0.92618,                0.79137,                 1.0041,                0.32325,                0.49062,                0.36749,                 0.2123,                 1.9281,                 2.5327,                 2.4227,             0.00077582,             0.00077582,             0.00077582
                    110,                0.98678,                0.77641,                 1.0017,                0.49632,                    0.4,                0.39384,                0.21411,                 1.9134,                 2.4786,                 2.4144,             0.00076757,             0.00076757,             0.00076757
                    111,                0.90441,                0.76926,                0.96817,                0.65955,                0.46667,                  0.503,                0.25629,                 1.9046,                 2.3754,                 2.3476,             0.00075932,             0.00075932,             0.00075932
                    112,                0.90197,                0.73556,                0.97441,                0.69987,                0.49936,                0.52966,                 0.2843,                 1.9473,                 2.1651,                 2.3466,             0.00075107,             0.00075107,             0.00075107
                    113,                 0.9145,                0.79605,                   1.01,                0.69987,                0.49936,                0.52966,                 0.2843,                 1.9473,                 2.1651,                 2.3466,             0.00074282,             0.00074282,             0.00074282
                    114,                0.96234,                0.73494,                0.98598,                0.47676,                0.58889,                0.50422,                0.26142,                 1.9542,                 2.0898,                 2.2185,             0.00073456,             0.00073456,             0.00073456
                    115,                0.95154,                0.74827,                0.97798,                0.36342,                0.57049,                0.44342,                0.24635,                 1.9436,                 2.1297,                 2.1835,             0.00072631,             0.00072631,             0.00072631
                    116,                 0.9055,                0.74741,                0.98247,                0.51304,                0.56708,                0.45969,                0.21267,                 2.0225,                 2.2027,                   2.28,             0.00071806,             0.00071806,             0.00071806
                    117,                0.86278,                0.78409,                 1.0153,                0.51304,                0.56708,                0.45969,                0.21267,                 2.0225,                 2.2027,                   2.28,             0.00070981,             0.00070981,             0.00070981
                    118,                0.90788,                0.82448,                0.98473,                0.43115,                    0.5,                0.42912,                0.21019,                  2.026,                 2.2936,                 2.2332,             0.00070156,             0.00070156,             0.00070156
                    119,                0.82199,                 0.7126,                0.95628,                0.65692,                0.35556,                0.40476,                 0.2134,                 2.0177,                 2.3411,                 2.2229,             0.00069331,             0.00069331,             0.00069331
                    120,                0.89366,                0.73167,                0.95227,                0.49616,                0.35556,                0.38921,                0.20358,                 1.9161,                 2.3316,                 2.1518,             0.00068505,             0.00068505,             0.00068505
                    121,                0.89764,                0.71761,                0.94994,                0.49616,                0.35556,                0.38921,                0.20358,                 1.9161,                 2.3316,                 2.1518,              0.0006768,              0.0006768,              0.0006768
                    122,                0.92621,                 0.7117,                0.96779,                0.55545,                0.37778,                0.39604,                0.19536,                 1.9384,                 2.3687,                 2.1468,             0.00066855,             0.00066855,             0.00066855
                    123,                0.85259,                 0.6841,                0.95961,                0.51829,                0.34444,                 0.4166,                 0.2172,                 1.9224,                 2.4152,                 2.1397,              0.0006603,              0.0006603,              0.0006603
                    124,                0.87061,                0.82741,                0.98223,                0.40858,                0.54165,                0.40786,                0.22284,                  1.905,                 2.3319,                 2.1296,             0.00065205,             0.00065205,             0.00065205
                    125,                0.93112,                0.75322,                 1.0068,                0.40858,                0.54165,                0.40786,                0.22284,                  1.905,                 2.3319,                 2.1296,              0.0006438,              0.0006438,              0.0006438
                    126,                0.83989,                0.72974,                0.95013,                0.53316,                0.39354,                0.39421,                0.24243,                 1.9011,                 2.3055,                 2.1123,             0.00063554,             0.00063554,             0.00063554
                    127,                0.84379,                0.73741,                0.99338,                0.46289,                0.34444,                0.38276,                0.25149,                  1.938,                  2.263,                 2.1236,             0.00062729,             0.00062729,             0.00062729
                    128,                0.83129,                0.69485,                0.96366,                0.50665,                0.34444,                0.36969,                 0.2462,                 2.0454,                 2.2046,                 2.2669,             0.00061904,             0.00061904,             0.00061904
                    129,                0.86439,                 0.7388,                 1.0079,                0.50665,                0.34444,                0.36969,                 0.2462,                 2.0454,                 2.2046,                 2.2669,             0.00061079,             0.00061079,             0.00061079
                    130,                  0.908,                0.73217,                 1.0024,                0.44052,                    0.4,                0.34995,                0.21825,                  2.078,                 2.2795,                 2.3255,             0.00060254,             0.00060254,             0.00060254
                    131,                0.81944,                0.72209,                0.96795,                0.44749,                0.43333,                 0.3421,                0.19466,                 2.1061,                 2.3965,                 2.3684,             0.00059429,             0.00059429,             0.00059429
                    132,                0.84947,                0.70575,                0.93085,                0.38927,                0.37778,                 0.3563,                0.16322,                 2.0847,                 2.4564,                 2.4191,             0.00058603,             0.00058603,             0.00058603
                    133,                0.86559,                0.70483,                0.94781,                0.38927,                0.37778,                 0.3563,                0.16322,                 2.0847,                 2.4564,                 2.4191,             0.00057778,             0.00057778,             0.00057778
                    134,                0.87338,                0.70688,                0.95944,                0.40382,                0.41111,                0.37558,                 0.1652,                 2.0971,                 2.4026,                  2.471,             0.00056953,             0.00056953,             0.00056953
                    135,                0.81449,                0.69786,                 0.9667,                0.49318,                0.34444,                0.35003,                0.16563,                 2.1026,                 2.4192,                 2.4728,             0.00056128,             0.00056128,             0.00056128
                    136,                0.83639,                0.67661,                0.93942,                0.50905,                0.34444,                 0.3452,                0.13972,                 2.0504,                 2.5355,                 2.4333,             0.00055303,             0.00055303,             0.00055303
                    137,                0.82327,                0.71681,                 1.0225,                0.50905,                0.34444,                 0.3452,                0.13972,                 2.0504,                 2.5355,                 2.4333,             0.00054478,             0.00054478,             0.00054478
                    138,                0.87327,                0.73338,                0.95799,                0.59978,                0.34444,                0.35981,                0.14161,                 2.0337,                 2.5864,                 2.4508,             0.00053652,             0.00053652,             0.00053652
                    139,                0.84364,                0.69494,                0.95563,                0.60059,                0.34444,                0.36838,                0.15495,                 2.1327,                 2.5477,                 2.5004,             0.00052827,             0.00052827,             0.00052827
                    140,                0.87277,                0.70739,                0.93599,                0.59372,                0.33891,                0.36226,                0.16926,                 2.1801,                 2.5075,                 2.5064,             0.00052002,             0.00052002,             0.00052002
                    141,                0.81639,                0.69361,                 0.9862,                0.59372,                0.33891,                0.36226,                0.16926,                 2.1801,                 2.5075,                 2.5064,             0.00051177,             0.00051177,             0.00051177
                    142,                0.78189,                 0.6527,                0.95047,                0.36376,                0.42512,                0.34665,                 0.1739,                 2.1895,                 2.4646,                 2.5336,             0.00050352,             0.00050352,             0.00050352
                    143,                0.83117,                0.68354,                0.99609,                0.44252,                0.41111,                0.33544,                0.16559,                 2.1376,                  2.424,                 2.4859,             0.00049527,             0.00049527,             0.00049527
                    144,                0.84239,                0.67804,                0.96617,                0.52655,                0.42845,                0.36261,                0.17425,                 2.0755,                 2.4385,                 2.4101,             0.00048701,             0.00048701,             0.00048701
                    145,                0.80831,                0.68703,                0.96962,                0.52655,                0.42845,                0.36261,                0.17425,                 2.0755,                 2.4385,                 2.4101,             0.00047876,             0.00047876,             0.00047876
                    146,                  0.843,                 0.6676,                 0.9405,                0.47829,                0.44444,                0.38097,                0.18124,                 2.0289,                 2.4361,                 2.3544,             0.00047051,             0.00047051,             0.00047051
